fatia	milestone	entrega	camada	titulo
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	backend	Inicializar o projeto Go e a estrutura de pastas
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	backend	Configurar acesso a dados, banco e migrations
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	backend	Carregar o conteúdo JSON no boot e expor tipado em memória
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	backend	Verificação de saúde: confirma que o servidor subiu e o conteúdo carregou
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	frontend	Inicializar o projeto do cliente
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`zones.json` — A Ressaca, A Bigorna, O Verde Surdo, A Costela, A Encruzilhada
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`resources/nodes.json` — nós de recurso por zona
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`mobs/ressaca.json`, `mobs/verde-surdo.json`, `mobs/costela.json`
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`weapons.json` e `tools.json` (T1–T2)
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`armor.json` (T1–T2)
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`crafting/recipes.json` (T1 e T2)
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`skills/abilities.json` — habilidades por arma e ataque automático
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`progression/litania.json` — Linha do Catador, Guerreiro, Caçador, Conjurador, Coleta, Forja
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`progression/fame_per_action.json` e `tutorial/steps.json`
0	Fatia 0 — Fundação	servidor sobe, carrega o conteúdo, responde a uma verificação de saúde. Nada	dados	`tutorial/dialogs.json` — **PRONTO** (entregue 21/07/2026)
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	backend	Persistir o jogador: quem é, onde está, em que passo do tutorial
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	backend	Criar jogador e abrir sessão
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	backend	Devolver o estado do jogador — a rota de reidratação
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	backend	Devolver os dados de uma zona, incluindo as ações disponíveis
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	frontend	Store do jogador: estado mínimo e reidratação no boot
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	frontend	Tela de criação de personagem
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	frontend	Ligar a criação à tela de zona
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	frontend	Tela de zona: nome e lista de ações vinda do servidor
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	frontend	Reidratação: recarregar mantém o jogador na zona correta
1	Fatia 1 — Personagem (Passo 1: Chegada)	o jogador cria um personagem e vê A Ressaca pela primeira vez.	narrativa	Exibir a fala de chegada do Guia, sem repetir ao recarregar
2	Fatia 2 — Primeira arma (Passo 2)	o jogador recebe uma arma, equipa, e vê o loadout mudar.	backend	Persistir o equipamento do jogador
2	Fatia 2 — Primeira arma (Passo 2)	o jogador recebe uma arma, equipa, e vê o loadout mudar.	backend	Equipar um item, limpando as habilidades da peça trocada
2	Fatia 2 — Primeira arma (Passo 2)	o jogador recebe uma arma, equipa, e vê o loadout mudar.	frontend	Tela de loadout: slots de equipamento e escolha de item por slot
2	Fatia 2 — Primeira arma (Passo 2)	o jogador recebe uma arma, equipa, e vê o loadout mudar.	narrativa	Exibir os diálogos do Passo 2 — chegada, reação e espera
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	backend	Combate T1: ciclo fixo com loot e Fama, sem fila de habilidades ainda
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	backend	Iniciar uma ação — o servidor é a autoridade do tempo
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	backend	Consultar a ação em andamento e receber o resultado quando o ciclo fecha
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	backend	Cancelar uma ação em andamento
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	backend	Creditar Fama: Linha do Catador sempre, mais o nó específico da ação
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	frontend	Componente de ação em andamento, com progresso e tempo restante
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	frontend	Ciclo de consulta automática: ao fechar um ciclo, reinicia sozinho
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	frontend	Mostrar a Fama ganha a cada ciclo e em qual nó ela caiu
3	Fatia 3 — Primeiro combate (Passo 3)	o jogador mata o primeiro Mito sem Pacto e ganha Fama.	narrativa	Exibir os diálogos do Passo 3
4	Fatia 4 — Coleta (Passo 4)	o jogador coleta recursos em loop e vê o inventário encher.	backend	Persistir o inventário do jogador
4	Fatia 4 — Coleta (Passo 4)	o jogador coleta recursos em loop e vê o inventário encher.	backend	Coleta: ciclo fixo que entrega recurso e Fama, e reinicia
4	Fatia 4 — Coleta (Passo 4)	o jogador coleta recursos em loop e vê o inventário encher.	backend	Consultar o inventário com quantidades e peso
4	Fatia 4 — Coleta (Passo 4)	o jogador coleta recursos em loop e vê o inventário encher.	backend	Validar slots e peso a cada ciclo
4	Fatia 4 — Coleta (Passo 4)	o jogador coleta recursos em loop e vê o inventário encher.	frontend	Painel de inventário: slots, peso e itens
4	Fatia 4 — Coleta (Passo 4)	o jogador coleta recursos em loop e vê o inventário encher.	narrativa	Exibir os diálogos do Passo 4
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	backend	Viajar entre zonas, com tempo de trânsito
